date,Brazil,China,India,Russia,South Africa,United Kingdom
2000,48.95297,31.4685,13.24989,177.75335,101.71578,164.51041
2001,47.78927,32.42302,13.52257,175.66948,101.96284,166.41455
2002,47.73233,34.03191,13.13655,183.21087,98.43929,163.52961
2003,47.78749,38.94003,13.35042,189.40043,104.71121,163.69586
2004,48.93927,44.86047,14.26428,195.45684,110.88106,163.86406
2005,50.25623,49.46962,14.96965,194.62656,107.83603,162.26568
2006,51.51575,53.96891,15.91784,193.99994,110.32818,159.58373
2007,53.22689,57.12489,16.73585,200.79186,112.14774,152.99081
2008,52.68423,59.98329,17.24824,208.07238,118.30442,150.36
2009,53.73497,65.73054,18.71032,188.46397,114.43677,140.97429
2010,57.69613,71.97437,19.36064,208.55993,114.05031,143.11846