Week,cruz
2016-01-03 - 2016-01-09,16
2016-01-10 - 2016-01-16,29
2016-01-17 - 2016-01-23,23
2016-01-24 - 2016-01-30,25
2016-01-31 - 2016-02-06,78
2016-02-07 - 2016-02-13,38
2016-02-14 - 2016-02-20,38
2016-02-21 - 2016-02-27,43
2016-02-28 - 2016-03-05,64
2016-03-06 - 2016-03-12,57
2016-03-13 - 2016-03-19,43
2016-03-20 - 2016-03-26,80
2016-03-27 - 2016-04-02,50
2016-04-03 - 2016-04-09,41
2016-04-10 - 2016-04-16,33
2016-04-17 - 2016-04-23,32
2016-04-24 - 2016-04-30,47
2016-05-01 - 2016-05-07,100
2016-05-08 - 2016-05-14,15
2016-05-15 - 2016-05-21,7
2016-05-22 - 2016-05-28,5
2016-05-29 - 2016-06-04,5