Poll,Date,Sample,trump,cruz,Kasich,Spread
RCP Average,4/12 - 05/01,--,46.5,27.0,18.0,Trump +19.5
CNN/ORCCNN/ORC,4/28 - 05/01,406 LV,49,25,19,Trump +24
IBD/TIPPIBD/TIPP,4/22 - 04/28,397 RV,48,29,16,Trump +19
USA Today/SuffolkUSA Today,4/20 - 04/24,292 LV,45,29,17,Trump +16
Pew ResearchPew,4/12 - 04/19,740 RV,44,25,20,Trump +19
FOX NewsFOX News,4/11 - 04/13,419 RV,45,27,25,Trump +18
NBC News/Wall St. JrnlNBC/WSJ,4/10 - 04/14,310 LV,40,35,24,Trump +5
CBS NewsCBS News,4/8 - 04/12,399 LV,42,29,18,Trump +13
The Atlantic/PRRIThe Atlantic,3/30 - 04/03,676 RV,37,31,23,Trump +6
IBD/TIPPIBD/TIPP,3/28 - 04/02,388 RV,38,31,19,Trump +7
McClatchy/MaristMcClatchy,3/29 - 03/31,444 RV,40,35,20,Trump +5
Pew ResearchPew,3/17 - 03/27,834 RV,41,32,20,Trump +9
PPP (D)PPP (D),3/24 - 03/26,505 LV,42,32,22,Trump +10
FOX NewsFOX News,3/20 - 03/22,388 LV,41,38,17,Trump +3
BloombergBloomberg,3/19 - 03/22,366 LV,40,31,25,Trump +9
MonmouthMonmouth,3/17 - 03/20,353 RV,41,29,18,Trump +12
CNN/ORCCNN/ORC,3/17 - 03/20,397 RV,47,31,17,Trump +16
CBS News/NY TimesCBS/NYT,3/17 - 03/20,362 LV,46,26,20,Trump +20
QuinnipiacQuinnipiac,3/16 - 03/21,652 RV,43,29,16,Trump +14
Rasmussen ReportsRasmussen,3/16 - 03/17,719 LV,43,28,21,Trump +15
NBC News/Wall St. JrnlNBC/WSJ,3/3 - 03/06,397 LV,30,27,22,Trump +3
ABC News/Wash PostABC/WP,3/3 - 03/06,RV,34,25,13,Trump +9
CNN/ORCCNN/ORC,2/24 - 02/27,427 RV,49,15,6,Trump +33
IBD/TIPPIBD/TIPP,2/19 - 02/24,400 RV,31,20,7,Trump +11
Rasmussen ReportsRasmussen,2/21 - 02/22,697 LV,36,17,12,Trump +15
FOX NewsFOX News,2/15 - 02/17,404 LV,36,19,8,Trump +17
NBC News/Wall St. JrnlNBC/WSJ,2/14 - 02/16,400 LV,26,28,11,Cruz +2
CBS NewsCBS News,2/12 - 02/16,581 LV,35,18,11,Trump +17
USA Today/SuffolkUSA Today,2/11 - 02/15,358 LV,35,20,7,Trump +15
QuinnipiacQuinnipiac,2/10 - 02/15,602 LV,39,18,6,Trump +20
QuinnipiacQuinnipiac,2/2 - 02/04,507 RV,31,22,3,Trump +9
Rasmussen ReportsRasmussen,2/3 - 02/04,725 LV,31,20,6,Trump +10
PPP (D)PPP (D),2/2 - 02/03,531 LV,25,21,5,Trump +4
IBD/TIPPIBD/TIPP,1/22 - 01/27,395 RV,31,21,2,Trump +10
CNN/ORCCNN/ORC,1/21 - 01/24,405 RV,41,19,1,Trump +22
ABC News/Wash PostABC/WP,1/21 - 01/24,356 RV,37,21,2,Trump +16
FOX NewsFOX News,1/18 - 01/21,405 LV,34,20,4,Trump +14
MonmouthMonmouth,1/15 - 01/18,385 RV,36,17,3,Trump +19
NBC News/Wall St. JrnlNBC/WSJ,1/9 - 01/13,400 LV,33,20,3,Trump +13
CBS News/NY TimesCBS/NYT,1/7 - 01/10,442 LV,36,19,2,Trump +17
IBD/TIPPIBD/TIPP,1/4 - 01/08,414 LV,34,18,2,Trump +16
FOX NewsFOX News,1/4 - 01/07,423 RV,35,20,2,Trump +15