Week,headline
5/29/2016,Rise of Donald Trump Tracks Growing Debate Over Global Fascism
5/22/2016,These Wealthy People Refuse to Give Donald Trump Money. Here’s Why.
5/15/2016,GOP Leaders Describe Unity as the Education of Donald Trump
5/8/2016,John McCain Demands Donald Trump Make Amends to Veterans
5/1/2016,Run on a Ticket With Donald Trump? No, Thanks, Many Republicans Say
4/24/2016,Donald Trump Tones It Down
4/17/2016,Donald Trump, American Preacher
4/10/2016,Donald Trump Defends 'Safe' Rallies
4/3/2016,With New Effort, Group Hopes to Show Donald Trump Has a Multicultural Appeal
3/27/2016,Donald Trump Effigies Burned in Mexico
3/20/2016,Donald Trump Faults Protesters Over Violence, Not Their Assailants
3/13/2016,Donald Trump Says He May Pay Legal Fees of Accused Attacker From Rally
3/6/2016,Donald Trump Considered Path to Presidency Starting at Governor’s Mansion in New York
2/28/2016,Jeff Sessions, Virulent Opponent to 2013 Immigration Bill, Endorses Donald Trump
2/21/2016,Donald Trump Struggles to Explain Comments on Persian Gulf War From 2002
2/14/2016,Ted Cruz Attacks Donald Trump Over Planned Parenthood in New Ad
2/7/2016,Donald Trump Ad Suggests He Has a Rainbow Coalition of Support
1/31/2016,Donald Trump Faces His Iowa Test
1/24/2016,Donald Trump Says Megyn Kelly Should Skip Debate; Fox Says She'll Be There
1/17/2016,Donald Trump Gets Personal in Attacks on Ted Cruz at Tea Party Convention
1/10/2016,Donald Trump Says He’ll Pull Scotland Investment if Britain Bars Him
1/3/2016,Donald Trump Shrugs Off Appearance in Terrorist Video